,District,Conf,Act,Rec,Des
594,Medchal Malkajgiri,0,0,0,0
595,Mulugu,0,0,0,0
596,Nagarkurnool,0,0,0,0
597,Nalgonda,0,0,0,0
598,Narayanpet,0,0,0,0
599,Nirmal,0,0,0,0
600,Nizamabad,0,0,0,0
601,Peddapalli,0,0,0,0
602,Rajanna Sircilla,0,0,0,0
603,Ranga Reddy,0,0,0,0
604,Sangareddy,0,0,0,0
605,Siddipet,0,0,0,0
606,Suryapet,0,0,0,0
607,Vikarabad,0,0,0,0
608,Wanaparthy,0,0,0,0
609,Warangal Rural,0,0,0,0
610,Warangal Urban,0,0,0,0
611,Yadadri Bhuvanagiri,0,0,0,0
612,Unknown,0,0,0,0
613,Railway Quarantine,0,0,0,0
614,Airport Quarantine,0,0,0,0
615,Other State,0,0,0,0
616,Ariyalur,0,0,0,0
617,Chengalpattu,0,0,0,0
618,Chennai,0,0,0,0
619,Coimbatore,0,0,0,0
620,Cuddalore,0,0,0,0
621,Dharmapuri,0,0,0,0
622,Dindigul,0,0,0,0
623,Erode,0,0,0,0
624,Kallakurichi,0,0,0,0
625,Kancheepuram,0,0,0,0
626,Kanyakumari,0,0,0,0
627,Karur,0,0,0,0
628,Krishnagiri,0,0,0,0
629,Madurai,0,0,0,0
630,Nagapattinam,0,0,0,0
631,Namakkal,0,0,0,0
632,Nilgiris,0,0,0,0
633,Perambalur,0,0,0,0
634,Pudukkottai,0,0,0,0
635,Ramanathapuram,0,0,0,0
636,Ranipet,0,0,0,0
637,Salem,0,0,0,0
638,Sivaganga,0,0,0,0
639,Tenkasi,0,0,0,0
640,Thanjavur,0,0,0,0
641,Theni,0,0,0,0
642,Thiruvallur,0,0,0,0
643,Thiruvarur,0,0,0,0
644,Thoothukkudi,0,0,0,0
645,Tiruchirappalli,0,0,0,0
646,Tirunelveli,0,0,0,0
647,Tirupathur,0,0,0,0
648,Tiruppur,0,0,0,0
649,Tiruvannamalai,0,0,0,0
650,Vellore,0,0,0,0
651,Viluppuram,0,0,0,0
652,Virudhunagar,0,0,0,0
653,Dhalai,0,0,0,0
654,Gomati,0,0,0,0
655,Khowai,0,0,0,0
656,North Tripura,0,0,0,0
657,Sipahijala,0,0,0,0
658,South Tripura,0,0,0,0
659,Unokoti,0,0,0,0
660,West Tripura,0,0,0,0
661,Agra,0,0,0,0
662,Aligarh,0,0,0,0
663,Ambedkar Nagar,0,0,0,0
664,Amethi,0,0,0,0
665,Amroha,0,0,0,0
666,Auraiya,0,0,0,0
667,Ayodhya,0,0,0,0
668,Azamgarh,0,0,0,0
669,Baghpat,0,0,0,0
670,Bahraich,0,0,0,0
671,Ballia,0,0,0,0
672,Balrampur,0,0,0,0
673,Banda,0,0,0,0
674,Barabanki,0,0,0,0
675,Bareilly,0,0,0,0
676,Basti,0,0,0,0
677,Bhadohi,0,0,0,0
678,Bijnor,0,0,0,0
679,Budaun,0,0,0,0
680,Bulandshahr,0,0,0,0
681,Chandauli,0,0,0,0
682,Chitrakoot,0,0,0,0
683,Deoria,0,0,0,0
684,Etah,0,0,0,0
685,Etawah,0,0,0,0
686,Farrukhabad,0,0,0,0
687,Fatehpur,0,0,0,0
688,Firozabad,0,0,0,0
689,Gautam Buddha Nagar,0,0,0,0
690,Ghaziabad,0,0,0,0
691,Ghazipur,0,0,0,0
692,Gonda,0,0,0,0
693,Gorakhpur,0,0,0,0
694,Hamirpur,0,0,0,0
695,Hapur,0,0,0,0
696,Hardoi,0,0,0,0
697,Hathras,0,0,0,0
698,Jalaun,0,0,0,0
699,Jaunpur,0,0,0,0
700,Jhansi,0,0,0,0
701,Kannauj,0,0,0,0
702,Kanpur Dehat,0,0,0,0
703,Kanpur Nagar,0,0,0,0
704,Kasganj,0,0,0,0
705,Kaushambi,0,0,0,0
706,Kushinagar,0,0,0,0
707,Lakhimpur Kheri,0,0,0,0
708,Lalitpur,0,0,0,0
709,Lucknow,0,0,0,0
710,Maharajganj,0,0,0,0
711,Mahoba,0,0,0,0
712,Mainpuri,0,0,0,0
713,Mathura,0,0,0,0
714,Mau,0,0,0,0
715,Meerut,0,0,0,0
716,Mirzapur,0,0,0,0
717,Moradabad,0,0,0,0
718,Muzaffarnagar,0,0,0,0
719,Pilibhit,0,0,0,0
720,Pratapgarh,0,0,0,0
721,Prayagraj,0,0,0,0
722,Rae Bareli,0,0,0,0
723,Rampur,0,0,0,0
724,Saharanpur,0,0,0,0
725,Sambhal,0,0,0,0
726,Sant Kabir Nagar,0,0,0,0
727,Shahjahanpur,0,0,0,0
728,Shamli,0,0,0,0
729,Shrawasti,0,0,0,0
730,Siddharthnagar,0,0,0,0
731,Sitapur,0,0,0,0
732,Sonbhadra,0,0,0,0
733,Sultanpur,0,0,0,0
734,Unnao,0,0,0,0
735,Varanasi,0,0,0,0
736,Almora,0,0,0,0
737,Bageshwar,0,0,0,0
738,Chamoli,0,0,0,0
739,Champawat,0,0,0,0
740,Dehradun,0,0,0,0
741,Haridwar,0,0,0,0
742,Nainital,0,0,0,0
743,Pauri Garhwal,0,0,0,0
744,Pithoragarh,0,0,0,0
745,Rudraprayag,0,0,0,0
746,Tehri Garhwal,0,0,0,0
747,Udham Singh Nagar,0,0,0,0
748,Uttarkashi,0,0,0,0
749,Alipurduar,0,0,0,0
750,Bankura,0,0,0,0
751,Birbhum,0,0,0,0
752,Cooch Behar,0,0,0,0
753,Dakshin Dinajpur,0,0,0,0
754,Darjeeling,0,0,0,0
755,Hooghly,0,0,0,0
756,Howrah,0,0,0,0
757,Jalpaiguri,0,0,0,0
758,Jhargram,0,0,0,0
759,Kalimpong,0,0,0,0
760,Kolkata,0,0,0,0
761,Malda,0,0,0,0
762,Murshidabad,0,0,0,0
763,Nadia,0,0,0,0
764,North 24 Parganas,0,0,0,0
765,Other State,0,0,0,0
766,Paschim Bardhaman,0,0,0,0
767,Paschim Medinipur,0,0,0,0
768,Purba Bardhaman,0,0,0,0
769,Purba Medinipur,0,0,0,0
770,Purulia,0,0,0,0
771,South 24 Parganas,0,0,0,0
772,Uttar Dinajpur,0,0,0,0
